acronym,id,name,structure_id_path,parent_structure_id
VI,653,Abducens nucleus,/997/8/343/1065/354/370/653/,370
ACVII,576,Accessory facial motor nucleus,/997/8/343/1065/354/370/576/,370
AOB,151,Accessory olfactory bulb,/997/8/567/688/695/698/151/,698
AOBgl,188,"Accessory olfactory bulb, glomerular layer",/997/8/567/688/695/698/151/188/,151
AOBgr,196,"Accessory olfactory bulb, granular layer",/997/8/567/688/695/698/151/196/,151
AOBmi,204,"Accessory olfactory bulb, mitral layer",/997/8/567/688/695/698/151/204/,151
ASO,332,Accessory supraoptic group,/997/8/343/1129/1097/157/332/,157
Acs5,549009219,Accessory trigeminal nucleus,/997/8/343/1065/771/987/549009219/,987
AI,95,Agranular insular area,/997/8/567/688/695/315/95/,315
AId,104,"Agranular insular area, dorsal part",/997/8/567/688/695/315/95/104/,95
AId1,996,"Agranular insular area, dorsal part, layer 1",/997/8/567/688/695/315/95/104/996/,104
AId2/3,328,"Agranular insular area, dorsal part, layer 2/3",/997/8/567/688/695/315/95/104/328/,104
AId5,1101,"Agranular insular area, dorsal part, layer 5",/997/8/567/688/695/315/95/104/1101/,104
AId6a,783,"Agranular insular area, dorsal part, layer 6a",/997/8/567/688/695/315/95/104/783/,104
AId6b,831,"Agranular insular area, dorsal part, layer 6b",/997/8/567/688/695/315/95/104/831/,104
AIp,111,"Agranular insular area, posterior part",/997/8/567/688/695/315/95/111/,95
AIp1,120,"Agranular insular area, posterior part, layer 1",/997/8/567/688/695/315/95/111/120/,111
AIp2/3,163,"Agranular insular area, posterior part, layer 2/3",/997/8/567/688/695/315/95/111/163/,111
AIp5,344,"Agranular insular area, posterior part, layer 5",/997/8/567/688/695/315/95/111/344/,111
AIp6a,314,"Agranular insular area, posterior part, layer 6a",/997/8/567/688/695/315/95/111/314/,111
AIp6b,355,"Agranular insular area, posterior part, layer 6b",/997/8/567/688/695/315/95/111/355/,111
AIv,119,"Agranular insular area, ventral part",/997/8/567/688/695/315/95/119/,95
AIv1,704,"Agranular insular area, ventral part, layer 1",/997/8/567/688/695/315/95/119/704/,119
AIv2/3,694,"Agranular insular area, ventral part, layer 2/3",/997/8/567/688/695/315/95/119/694/,119
AIv5,800,"Agranular insular area, ventral part, layer 5",/997/8/567/688/695/315/95/119/800/,119
AIv6a,675,"Agranular insular area, ventral part, layer 6a",/997/8/567/688/695/315/95/119/675/,119
AIv6b,699,"Agranular insular area, ventral part, layer 6b",/997/8/567/688/695/315/95/119/699/,119
CA,375,Ammon's horn,/997/8/567/688/695/1089/1080/375/,1080
AN,1017,Ansiform lobule,/997/8/512/528/1073/1017/,1073
AAA,23,Anterior amygdalar area,/997/8/567/623/477/278/23/,278
VISa,312782546,Anterior area,/997/8/567/688/695/315/22/312782546/,22
VISa1,312782550,"Anterior area, layer 1",/997/8/567/688/695/315/22/312782546/312782550/,312782546
VISa2/3,312782554,"Anterior area, layer 2/3",/997/8/567/688/695/315/22/312782546/312782554/,312782546
VISa4,312782558,"Anterior area, layer 4",/997/8/567/688/695/315/22/312782546/312782558/,312782546
VISa5,312782562,"Anterior area, layer 5",/997/8/567/688/695/315/22/312782546/312782562/,312782546
VISa6a,312782566,"Anterior area, layer 6a",/997/8/567/688/695/315/22/312782546/312782566/,312782546
VISa6b,312782570,"Anterior area, layer 6b",/997/8/567/688/695/315/22/312782546/312782570/,312782546
ACA,31,Anterior cingulate area,/997/8/567/688/695/315/31/,315
ACAd,39,"Anterior cingulate area, dorsal part",/997/8/567/688/695/315/31/39/,31
ACAd1,935,"Anterior cingulate area, dorsal part, layer 1",/997/8/567/688/695/315/31/39/935/,39
ACAd2/3,211,"Anterior cingulate area, dorsal part, layer 2/3",/997/8/567/688/695/315/31/39/211/,39
ACAd5,1015,"Anterior cingulate area, dorsal part, layer 5",/997/8/567/688/695/315/31/39/1015/,39
ACAd6a,919,"Anterior cingulate area, dorsal part, layer 6a",/997/8/567/688/695/315/31/39/919/,39
ACAd6b,927,"Anterior cingulate area, dorsal part, layer 6b",/997/8/567/688/695/315/31/39/927/,39
ACAv,48,"Anterior cingulate area, ventral part",/997/8/567/688/695/315/31/48/,31
ACAv6a,810,"Anterior cingulate area, ventral part, 6a",/997/8/567/688/695/315/31/48/810/,48
ACAv6b,819,"Anterior cingulate area, ventral part, 6b",/997/8/567/688/695/315/31/48/819/,48
ACAv1,588,"Anterior cingulate area, ventral part, layer 1",/997/8/567/688/695/315/31/48/588/,48
ACAv2/3,296,"Anterior cingulate area, ventral part, layer 2/3",/997/8/567/688/695/315/31/48/296/,48
ACAv5,772,"Anterior cingulate area, ventral part, layer 5",/997/8/567/688/695/315/31/48/772/,48
ATN,239,Anterior group of the dorsal thalamus,/997/8/343/1129/549/856/239/,856
AHN,88,Anterior hypothalamic nucleus,/997/8/343/1129/1097/467/88/,467
AON,159,Anterior olfactory nucleus,/997/8/567/688/695/698/159/,698
APN,215,Anterior pretectal nucleus,/997/8/343/313/323/1100/215/,1100
AT,231,Anterior tegmental nucleus,/997/8/343/313/323/231/,323
AD,64,Anterodorsal nucleus,/997/8/343/1129/549/856/239/64/,239
ADP,72,Anterodorsal preoptic nucleus,/997/8/343/1129/1097/141/72/,141
VISal,402,Anterolateral visual area,/997/8/567/688/695/315/669/402/,669
VISal1,1074,"Anterolateral visual area, layer 1",/997/8/567/688/695/315/669/402/1074/,402
VISal2/3,905,"Anterolateral visual area, layer 2/3",/997/8/567/688/695/315/669/402/905/,402
VISal4,1114,"Anterolateral visual area, layer 4",/997/8/567/688/695/315/669/402/1114/,402
VISal5,233,"Anterolateral visual area, layer 5",/997/8/567/688/695/315/669/402/233/,402
VISal6a,601,"Anterolateral visual area, layer 6a",/997/8/567/688/695/315/669/402/601/,402
VISal6b,649,"Anterolateral visual area, layer 6b",/997/8/567/688/695/315/669/402/649/,402
AM,127,Anteromedial nucleus,/997/8/343/1129/549/856/239/127/,239
AMd,1096,"Anteromedial nucleus, dorsal part",/997/8/343/1129/549/856/239/127/1096/,127
AMv,1104,"Anteromedial nucleus, ventral part",/997/8/343/1129/549/856/239/127/1104/,127
VISam,394,Anteromedial visual area,/997/8/567/688/695/315/669/394/,669
VISam1,281,"Anteromedial visual area, layer 1",/997/8/567/688/695/315/669/394/281/,394
VISam2/3,1066,"Anteromedial visual area, layer 2/3",/997/8/567/688/695/315/669/394/1066/,394
VISam4,401,"Anteromedial visual area, layer 4",/997/8/567/688/695/315/669/394/401/,394
VISam5,433,"Anteromedial visual area, layer 5",/997/8/567/688/695/315/669/394/433/,394
VISam6a,1046,"Anteromedial visual area, layer 6a",/997/8/567/688/695/315/669/394/1046/,394
VISam6b,441,"Anteromedial visual area, layer 6b",/997/8/567/688/695/315/669/394/441/,394
AV,255,Anteroventral nucleus of thalamus,/997/8/343/1129/549/856/239/255/,239
AVPV,272,Anteroventral periventricular nucleus,/997/8/343/1129/1097/141/272/,141
AVP,263,Anteroventral preoptic nucleus,/997/8/343/1129/1097/141/263/,141
ARH,223,Arcuate hypothalamic nucleus,/997/8/343/1129/1097/157/223/,157
AP,207,Area postrema,/997/8/343/1065/354/386/207/,386
APr,484682508,Area prostriata,/997/8/567/688/695/1089/822/484682508/,822
AUD,247,Auditory areas,/997/8/567/688/695/315/247/,315
B,280,Barrington's nucleus,/997/8/343/1065/771/987/280/,987
grey,8,Basic cell groups and regions,/997/8/,997
BLA,295,Basolateral amygdalar nucleus,/997/8/567/688/703/295/,703
BLAa,303,"Basolateral amygdalar nucleus, anterior part",/997/8/567/688/703/295/303/,295
BLAp,311,"Basolateral amygdalar nucleus, posterior part",/997/8/567/688/703/295/311/,295
BLAv,451,"Basolateral amygdalar nucleus, ventral part",/997/8/567/688/703/295/451/,295
BMA,319,Basomedial amygdalar nucleus,/997/8/567/688/703/319/,703
BMAa,327,"Basomedial amygdalar nucleus, anterior part",/997/8/567/688/703/319/327/,319
BMAp,334,"Basomedial amygdalar nucleus, posterior part",/997/8/567/688/703/319/334/,319
BST,351,Bed nuclei of the stria terminalis,/997/8/567/623/803/809/351/,809
BA,292,Bed nucleus of the accessory olfactory tract,/997/8/567/623/477/278/292/,278
BAC,287,Bed nucleus of the anterior commissure,/997/8/567/623/803/809/287/,809
BS,343,Brain stem,/997/8/343/,8
CP,672,Caudoputamen,/997/8/567/623/477/485/672/,485
CEA,536,Central amygdalar nucleus,/997/8/567/623/477/278/536/,278
CEAc,544,"Central amygdalar nucleus, capsular part",/997/8/567/623/477/278/536/544/,536
CEAl,551,"Central amygdalar nucleus, lateral part",/997/8/567/623/477/278/536/551/,536
CEAm,559,"Central amygdalar nucleus, medial part",/997/8/567/623/477/278/536/559/,536
CL,575,Central lateral nucleus of the thalamus,/997/8/343/1129/549/856/51/575/,51
CLI,591,Central linear nucleus raphe,/997/8/343/313/348/165/591/,165
CENT,920,Central lobule,/997/8/512/528/645/920/,645
CM,599,Central medial nucleus of the thalamus,/997/8/343/1129/549/856/51/599/,51
CBX,528,Cerebellar cortex,/997/8/512/528/,512
CBN,519,Cerebellar nuclei,/997/8/512/519/,512
CB,512,Cerebellum,/997/8/512/,8
CTX,688,Cerebral cortex,/997/8/567/688/,567
CNU,623,Cerebral nuclei,/997/8/567/623/,567
CH,567,Cerebrum,/997/8/567/,8
CLA,583,Claustrum,/997/8/567/688/703/583/,703
CN,607,Cochlear nuclei,/997/8/343/1065/354/386/607/,386
COPY,1033,Copula pyramidis,/997/8/512/528/1073/1033/,1073
COA,631,Cortical amygdalar area,/997/8/567/688/695/698/631/,698
COAa,639,"Cortical amygdalar area, anterior part",/997/8/567/688/695/698/631/639/,631
COAp,647,"Cortical amygdalar area, posterior part",/997/8/567/688/695/698/631/647/,631
COApl,655,"Cortical amygdalar area, posterior part, lateral zone",/997/8/567/688/695/698/631/647/655/,647
COApm,663,"Cortical amygdalar area, posterior part, medial zone",/997/8/567/688/695/698/631/647/663/,647
CTXpl,695,Cortical plate,/997/8/567/688/695/,688
CTXsp,703,Cortical subplate,/997/8/567/688/703/,688
ANcr1,1056,Crus 1,/997/8/512/528/1073/1017/1056/,1017
ANcr2,1064,Crus 2,/997/8/512/528/1073/1017/1064/,1017
CUL,928,Culmen,/997/8/512/528/645/928/,645
CU,711,Cuneate nucleus,/997/8/343/1065/354/386/720/711/,720
CUN,616,Cuneiform nucleus,/997/8/343/313/323/616/,323
DEC,936,Declive (VI),/997/8/512/528/645/936/,645
DG,726,Dentate gyrus,/997/8/567/688/695/1089/1080/726/,1080
DG-sg,632,"Dentate gyrus, granule cell layer",/997/8/567/688/695/1089/1080/726/632/,726
DG-mo,10703,"Dentate gyrus, molecular layer",/997/8/567/688/695/1089/1080/726/10703/,726
DG-po,10704,"Dentate gyrus, polymorph layer",/997/8/567/688/695/1089/1080/726/10704/,726
DN,846,Dentate nucleus,/997/8/512/519/846/,519
NDB,596,Diagonal band nucleus,/997/8/567/623/803/826/904/596/,904
AUDd,1011,Dorsal auditory area,/997/8/567/688/695/315/247/1011/,247
AUDd1,527,"Dorsal auditory area, layer 1",/997/8/567/688/695/315/247/1011/527/,1011
AUDd2/3,600,"Dorsal auditory area, layer 2/3",/997/8/567/688/695/315/247/1011/600/,1011
AUDd4,678,"Dorsal auditory area, layer 4",/997/8/567/688/695/315/247/1011/678/,1011
AUDd5,252,"Dorsal auditory area, layer 5",/997/8/567/688/695/315/247/1011/252/,1011
AUDd6a,156,"Dorsal auditory area, layer 6a",/997/8/567/688/695/315/247/1011/156/,1011
AUDd6b,243,"Dorsal auditory area, layer 6b",/997/8/567/688/695/315/247/1011/243/,1011
DCO,96,Dorsal cochlear nucleus,/997/8/343/1065/354/386/607/96/,607
DCN,720,Dorsal column nuclei,/997/8/343/1065/354/386/720/,386
DMX,839,Dorsal motor nucleus of the vagus nerve,/997/8/343/1065/354/370/839/,370
DR,872,Dorsal nucleus raphe,/997/8/343/313/348/165/872/,165
LGd,170,Dorsal part of the lateral geniculate complex,/997/8/343/1129/549/864/1008/170/,1008
LGd-co,496345668,"Dorsal part of the lateral geniculate complex, core",/997/8/343/1129/549/864/1008/170/496345668/,170
LGd-ip,496345672,"Dorsal part of the lateral geniculate complex, ipsilateral zone",/997/8/343/1129/549/864/1008/170/496345672/,170
LGd-sh,496345664,"Dorsal part of the lateral geniculate complex, shell",/997/8/343/1129/549/864/1008/170/496345664/,170
DP,814,Dorsal peduncular area,/997/8/567/688/695/698/814/,698
PMd,980,Dorsal premammillary nucleus,/997/8/343/1129/1097/467/980/,467
DTN,880,Dorsal tegmental nucleus,/997/8/343/1065/771/987/880/,987
DT,75,Dorsal terminal nucleus of the accessory optic tract,/997/8/343/313/323/75/,323
DMH,830,Dorsomedial nucleus of the hypothalamus,/997/8/343/1129/1097/141/830/,141
ECT,895,Ectorhinal area,/997/8/567/688/695/315/895/,315
ECT1,836,Ectorhinal area/Layer 1,/997/8/567/688/695/315/895/836/,895
ECT2/3,427,Ectorhinal area/Layer 2/3,/997/8/567/688/695/315/895/427/,895
ECT5,988,Ectorhinal area/Layer 5,/997/8/567/688/695/315/895/988/,895
ECT6a,977,Ectorhinal area/Layer 6a,/997/8/567/688/695/315/895/977/,895
ECT6b,1045,Ectorhinal area/Layer 6b,/997/8/567/688/695/315/895/1045/,895
EW,975,Edinger-Westphal nucleus,/997/8/343/313/323/975/,323
EP,942,Endopiriform nucleus,/997/8/567/688/703/942/,703
EPd,952,"Endopiriform nucleus, dorsal part",/997/8/567/688/703/942/952/,942
EPv,966,"Endopiriform nucleus, ventral part",/997/8/567/688/703/942/966/,942
ENT,909,Entorhinal area,/997/8/567/688/695/1089/822/909/,822
ENTl,918,"Entorhinal area, lateral part",/997/8/567/688/695/1089/822/909/918/,909
ENTl1,1121,"Entorhinal area, lateral part, layer 1",/997/8/567/688/695/1089/822/909/918/1121/,918
ENTl2,20,"Entorhinal area, lateral part, layer 2",/997/8/567/688/695/1089/822/909/918/20/,918
ENTl3,52,"Entorhinal area, lateral part, layer 3",/997/8/567/688/695/1089/822/909/918/52/,918
ENTl5,139,"Entorhinal area, lateral part, layer 5",/997/8/567/688/695/1089/822/909/918/139/,918
ENTl6a,28,"Entorhinal area, lateral part, layer 6a",/997/8/567/688/695/1089/822/909/918/28/,918
ENTm,926,"Entorhinal area, medial part, dorsal zone",/997/8/567/688/695/1089/822/909/926/,909
ENTm1,526,"Entorhinal area, medial part, dorsal zone, layer 1",/997/8/567/688/695/1089/822/909/926/526/,926
ENTm2,543,"Entorhinal area, medial part, dorsal zone, layer 2",/997/8/567/688/695/1089/822/909/926/543/,926
ENTm3,664,"Entorhinal area, medial part, dorsal zone, layer 3",/997/8/567/688/695/1089/822/909/926/664/,926
ENTm5,727,"Entorhinal area, medial part, dorsal zone, layer 5",/997/8/567/688/695/1089/822/909/926/727/,926
ENTm6,743,"Entorhinal area, medial part, dorsal zone, layer 6",/997/8/567/688/695/1089/822/909/926/743/,926
EPI,958,Epithalamus,/997/8/343/1129/549/856/958/,856
Eth,560581551,Ethmoid nucleus of the thalamus,/997/8/343/1129/549/856/138/560581551/,138
ECU,903,External cuneate nucleus,/997/8/343/1065/354/386/903/,386
VII,661,Facial motor nucleus,/997/8/343/1065/354/370/661/,370
FC,982,Fasciola cinerea,/997/8/567/688/695/1089/1080/982/,1080
FN,989,Fastigial nucleus,/997/8/512/519/989/,519
CA1,382,Field CA1,/997/8/567/688/695/1089/1080/375/382/,375
CA2,423,Field CA2,/997/8/567/688/695/1089/1080/375/423/,375
CA3,463,Field CA3,/997/8/567/688/695/1089/1080/375/463/,375
FF,804,Fields of Forel,/997/8/343/1129/1097/290/797/804/,797
FL,1049,Flocculus,/997/8/512/528/1073/1049/,1073
FOTU,944,Folium-tuber vermis (VII),/997/8/512/528/645/944/,645
FRP,184,"Frontal pole, cerebral cortex",/997/8/567/688/695/315/184/,315
FRP1,68,"Frontal pole, layer 1",/997/8/567/688/695/315/184/68/,184
FRP2/3,667,"Frontal pole, layer 2/3",/997/8/567/688/695/315/184/667/,184
FRP5,526157192,"Frontal pole, layer 5",/997/8/567/688/695/315/184/526157192/,184
FRP6a,526157196,"Frontal pole, layer 6a",/997/8/567/688/695/315/184/526157196/,184
FRP6b,526322264,"Frontal pole, layer 6b",/997/8/567/688/695/315/184/526322264/,184
FS,998,Fundus of striatum,/997/8/567/623/477/493/998/,493
GENd,1008,"Geniculate group, dorsal thalamus",/997/8/343/1129/549/864/1008/,864
GENv,1014,"Geniculate group, ventral thalamus",/997/8/343/1129/549/856/1014/,856
GRN,1048,Gigantocellular reticular nucleus,/997/8/343/1065/354/370/1048/,370
GPe,1022,"Globus pallidus, external segment",/997/8/567/623/803/818/1022/,818
GPi,1031,"Globus pallidus, internal segment",/997/8/567/623/803/818/1031/,818
GR,1039,Gracile nucleus,/997/8/343/1065/354/386/720/1039/,720
GU,1057,Gustatory areas,/997/8/567/688/695/315/1057/,315
GU1,36,"Gustatory areas, layer 1",/997/8/567/688/695/315/1057/36/,1057
GU2/3,180,"Gustatory areas, layer 2/3",/997/8/567/688/695/315/1057/180/,1057
GU4,148,"Gustatory areas, layer 4",/997/8/567/688/695/315/1057/148/,1057
GU5,187,"Gustatory areas, layer 5",/997/8/567/688/695/315/1057/187/,1057
GU6a,638,"Gustatory areas, layer 6a",/997/8/567/688/695/315/1057/638/,1057
GU6b,662,"Gustatory areas, layer 6b",/997/8/567/688/695/315/1057/662/,1057
HEM,1073,Hemispheric regions,/997/8/512/528/1073/,528
HB,1065,Hindbrain,/997/8/343/1065/,343
HPF,1089,Hippocampal formation,/997/8/567/688/695/1089/,695
HIP,1080,Hippocampal region,/997/8/567/688/695/1089/1080/,1089
HATA,589508447,Hippocampo-amygdalar transition area,/997/8/567/688/695/1089/822/589508447/,822
XII,773,Hypoglossal nucleus,/997/8/343/1065/354/370/773/,370
LZ,290,Hypothalamic lateral zone,/997/8/343/1129/1097/290/,1097
MEZ,467,Hypothalamic medial zone,/997/8/343/1129/1097/467/,1097
HY,1097,Hypothalamus,/997/8/343/1129/1097/,1129
IG,19,Induseum griseum,/997/8/567/688/695/1089/1080/19/,1080
IC,4,Inferior colliculus,/997/8/343/313/339/4/,339
ICc,811,"Inferior colliculus, central nucleus",/997/8/343/313/339/4/811/,4
ICd,820,"Inferior colliculus, dorsal nucleus",/997/8/343/313/339/4/820/,4
ICe,828,"Inferior colliculus, external nucleus",/997/8/343/313/339/4/828/,4
IO,83,Inferior olivary complex,/997/8/343/1065/354/370/83/,370
ISN,106,Inferior salivatory nucleus,/997/8/343/1065/354/370/106/,370
ICB,372,Infracerebellar nucleus,/997/8/343/1065/354/370/372/,370
ILA,44,Infralimbic area,/997/8/567/688/695/315/44/,315
ILA1,707,"Infralimbic area, layer 1",/997/8/567/688/695/315/44/707/,44
ILA2/3,556,"Infralimbic area, layer 2/3",/997/8/567/688/695/315/44/556/,44
ILA5,827,"Infralimbic area, layer 5",/997/8/567/688/695/315/44/827/,44
ILA6a,1054,"Infralimbic area, layer 6a",/997/8/567/688/695/315/44/1054/,44
ILA6b,1081,"Infralimbic area, layer 6b",/997/8/567/688/695/315/44/1081/,44
IAD,1113,Interanterodorsal nucleus of the thalamus,/997/8/343/1129/549/856/239/1113/,239
IAM,1120,Interanteromedial nucleus of the thalamus,/997/8/343/1129/549/856/239/1120/,239
IB,1129,Interbrain,/997/8/343/1129/,343
IA,1105,Intercalated amygdalar nucleus,/997/8/567/623/477/278/1105/,278
IF,12,Interfascicular nucleus raphe,/997/8/343/313/348/165/12/,165
IGL,27,Intergeniculate leaflet of the lateral geniculate complex,/997/8/343/1129/549/856/1014/27/,1014
IntG,563807439,Intermediate geniculate nucleus,/997/8/343/1129/549/856/1014/563807439/,1014
IRN,136,Intermediate reticular nucleus,/997/8/343/1065/354/370/136/,370
IMD,59,Intermediodorsal nucleus of the thalamus,/997/8/343/1129/549/856/444/59/,444
IPN,100,Interpeduncular nucleus,/997/8/343/313/348/165/100/,165
IPA,607344842,"Interpeduncular nucleus, apical",/997/8/343/313/348/165/100/607344842/,100
IPC,607344838,"Interpeduncular nucleus, caudal",/997/8/343/313/348/165/100/607344838/,100
IPDL,607344858,"Interpeduncular nucleus, dorsolateral",/997/8/343/313/348/165/100/607344858/,100
IPDM,607344854,"Interpeduncular nucleus, dorsomedial",/997/8/343/313/348/165/100/607344854/,100
IPI,607344850,"Interpeduncular nucleus, intermediate",/997/8/343/313/348/165/100/607344850/,100
IPL,607344846,"Interpeduncular nucleus, lateral",/997/8/343/313/348/165/100/607344846/,100
IPR,607344834,"Interpeduncular nucleus, rostral",/997/8/343/313/348/165/100/607344834/,100
IPRL,607344862,"Interpeduncular nucleus, rostrolateral",/997/8/343/313/348/165/100/607344862/,100
IP,91,Interposed nucleus,/997/8/512/519/91/,519
INC,67,Interstitial nucleus of Cajal,/997/8/343/313/323/795/67/,795
I5,549009227,Intertrigeminal nucleus,/997/8/343/1065/771/987/549009227/,987
ILM,51,Intralaminar nuclei of the dorsal thalamus,/997/8/343/1129/549/856/51/,856
Isocortex,315,Isocortex,/997/8/567/688/695/315/,695
KF,123,Koelliker-Fuse subnucleus,/997/8/343/1065/771/1132/867/123/,867
LA,131,Lateral amygdalar nucleus,/997/8/567/688/703/131/,703
LD,155,Lateral dorsal nucleus of thalamus,/997/8/343/1129/549/856/239/155/,239
LAT,138,Lateral group of the dorsal thalamus,/997/8/343/1129/549/856/138/,856
LH,186,Lateral habenula,/997/8/343/1129/549/856/958/186/,958
LHA,194,Lateral hypothalamic area,/997/8/343/1129/1097/290/194/,290
LM,210,Lateral mammillary nucleus,/997/8/343/1129/1097/467/331/210/,331
LP,218,Lateral posterior nucleus of the thalamus,/997/8/343/1129/549/856/138/218/,138
LPO,226,Lateral preoptic area,/997/8/343/1129/1097/290/226/,290
LRN,235,Lateral reticular nucleus,/997/8/343/1065/354/370/235/,370
LRNm,955,"Lateral reticular nucleus, magnocellular part",/997/8/343/1065/354/370/235/955/,235
LRNp,963,"Lateral reticular nucleus, parvicellular part",/997/8/343/1065/354/370/235/963/,235
LSX,275,Lateral septal complex,/997/8/567/623/477/275/,477
LS,242,Lateral septal nucleus,/997/8/567/623/477/275/242/,275
LSc,250,"Lateral septal nucleus, caudal (caudodorsal) part",/997/8/567/623/477/275/242/250/,242
LSr,258,"Lateral septal nucleus, rostral (rostroventral) part",/997/8/567/623/477/275/242/258/,242
LSv,266,"Lateral septal nucleus, ventral part",/997/8/567/623/477/275/242/266/,242
LT,66,Lateral terminal nucleus of the accessory optic tract,/997/8/343/313/323/66/,323
LAV,209,Lateral vestibular nucleus,/997/8/343/1065/354/370/701/209/,701
VISl,409,Lateral visual area,/997/8/567/688/695/315/669/409/,669
VISl1,421,"Lateral visual area, layer 1",/997/8/567/688/695/315/669/409/421/,409
VISl2/3,973,"Lateral visual area, layer 2/3",/997/8/567/688/695/315/669/409/973/,409
VISl4,573,"Lateral visual area, layer 4",/997/8/567/688/695/315/669/409/573/,409
VISl5,613,"Lateral visual area, layer 5",/997/8/567/688/695/315/669/409/613/,409
